Date,USDTRY,,,Retrun_5D,Retrun_20D,Volatility_5D,Volatility_20D,Volatility_6D,MA_Distance_20D,MA_Distance_50D,MA_Slope_20D,Drawdown_60D
7/11/2018,4.8762,,,,,,,,,,,
7/12/2018,4.8552,,,,,,,,,,,
7/13/2018,4.8552,,,,,,,,,,,
7/16/2018,4.8463,,,,,,,,,,,
7/17/2018,4.8065,,,,,,,,,,,
7/18/2018,4.7953,,,,,,,,,,,
7/19/2018,4.8066,,,,,,,,,,,
7/20/2018,4.7927,,,,,,,,,,,
7/23/2018,4.7395,,,,,,,,,,,
7/24/2018,4.8861,,,,,,,,,,,
7/25/2018,4.7728,,,,,,,,,,,
7/26/2018,4.8649,,,,,,,,,,,
7/27/2018,4.8529,,,,,,,,,,,
7/30/2018,4.8823,,,,,,,,,,,
7/31/2018,4.9142,,,,,,,,,,,
8/1/2018,4.995,,,,,,,,,,,
8/2/2018,5.066,,,,,,,,,,,
8/3/2018,5.0815,,,,,,,,,,,
8/6/2018,5.3301,,,,,,,,,,,
8/7/2018,5.2443,,,,,,,,,,,
8/8/2018,5.28,,,,,,,,,,,
8/9/2018,5.5457,,,,,,,,,,,
8/10/2018,6.4275,,,,,,,,,,,
8/13/2018,6.8834,,,,,,,,,,,
8/14/2018,6.3544,,,,,,,,,,,
8/15/2018,5.9905,,,,,,,,,,,
8/16/2018,5.827,,,,,,,,,,,
8/17/2018,6.014,,,,,,,,,,,
8/20/2018,6.0808,,,,,,,,,,,
8/21/2018,6.0758,,,,,,,,,,,
8/22/2018,6.0512,,,,,,,,,,,
8/23/2018,6.1247,,,,,,,,,,,
8/24/2018,6.0068,,,,,,,,,,,
8/27/2018,6.1217,,,,,,,,,,,
8/28/2018,6.273,,,,,,,,,,,
8/29/2018,6.4752,,,,,,,,,,,
8/30/2018,6.6519,,,,,,,,,,,
8/31/2018,6.538,,,,,,,,,,,
9/3/2018,6.634,,,,,,,,,,,
9/4/2018,6.6711,,,,,,,,,,,
9/5/2018,6.6011,,,,,,,,,,,
9/6/2018,6.5827,,,,,,,,,,,
9/7/2018,6.397,,,,,,,,,,,
9/10/2018,6.4616,,,,,,,,,,,
9/11/2018,6.4302,,,,,,,,,,,
9/12/2018,6.342,,,,,,,,,,,
9/13/2018,6.0812,,,,,,,,,,,
9/14/2018,6.1703,,,,,,,,,,,
9/17/2018,6.3144,,,,,,,,,,,
9/18/2018,6.3846,,,,,,,,,,,
9/19/2018,6.2493,,,,,,,,,,,
9/20/2018,6.196,,,,,,,,,,,
9/21/2018,6.2937,,,,,,,,,,,
9/24/2018,6.1524,,,,,,,,,,,
9/25/2018,6.1618,,,,,,,,,,,
9/26/2018,6.107,,,,,,,,,,,
9/27/2018,6.008,,,,,,,,,,,
9/28/2018,6.056,,,,,,,,,,,
10/1/2018,5.936,,,,,,,,,,,
10/2/2018,5.9846,,,,,,,,,,,
10/3/2018,6.0458,,,,,,,,,,,
10/4/2018,6.1627,,,,,,,,,,,
10/5/2018,6.1333,,,,,,,,,,,
